"nr","cod_lmi","cod_lmi_jud","cod_lmi_nat","cod_lmi_grupa","cod_lmi_val","cod_lmi_num","SIRUTA_judet","judet","SIRUTA_UAT","rang","UAT","SIRUTA","localitate","denumire","latitudine_y","longitudine_x","cota","adresa","observatii_adresa","cod_postal","strada_nume","strada_numar","tip_patrimoniu","program_arhitectura","tip_monument","datare","fotografiat","existent","constructie_noua","stare_generala","observatii","observatii_cc"
811,"CJ-II-m-B-07334","CJ","II","m","B",7334,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fosta casă a breslei cizmarilor",46.770112,23.593384,344,"Bd. Eroilor 23-25",,400129,,,"Patrimoniu reprezentativ","Clădire financiar-comerț",,"sec. XVI - XIX",,,,"Stare medie",,
812,"CJ-II-m-B-07335","CJ","II","m","B",7335,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.77017,23.593589,344,"Bd. Eroilor 27",,400129,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX",,,,"Stare medie",,
813,"CJ-II-m-B-07336","CJ","II","m","B",7336,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.770186,23.593721,344,"Bd. Eroilor 29",,400129,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX",,,,"Stare medie",,
814,"CJ-II-m-B-07337","CJ","II","m","B",7337,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.770187,23.593849,344,"Bd. Eroilor 31",,400129,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XX",,,,"Stare medie",,
816,"CJ-II-m-B-07339","CJ","II","m","B",7339,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.770272,23.594164,344,"Bd. Eroilor 33",,400129,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX",,,,"Stare medie",,
817,"CJ-II-m-B-07340","CJ","II","m","B",7340,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.770323,23.59455,344,"Bd. Eroilor 37",,400129,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XV - XIX",,,,"Stare medie",,
818,"CJ-II-m-B-07341","CJ","II","m","B",7341,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.77015,23.595286,345,"Bd. Eroilor 38",,400129,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1920,,,,"Stare medie",,
819,"CJ-II-m-B-07342","CJ","II","m","B",7342,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.770214,23.595555,345,"Bd. Eroilor 42",,400129,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XX",,,,"Stare medie",,
875,"CJ-II-m-B-07343","CJ","II","m","B",7343,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.77127,23.595395,345,"Str. luliu Maniu 40, Str.Baba Novac 4",,400095,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX",,,,"Stare medie",,
820,"CJ-II-m-B-07344","CJ","II","m","B",7344,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.76706,23.588701,351,"Str. Fortăreței 8",,400091,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI",,,,"Stare medie",,
821,"CJ-II-m-B-07345","CJ","II","m","B",7345,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Gara Cluj-Napoca",46.784369,23.586346,338,"Piața Gării 1",,400201,,,"Patrimoniu transporturilor","Clădire pentru transport (gară, autogară ș.a.)",,1870,,,,"Stare bună",,
822,"CJ-II-m-B-07346","CJ","II","m","B",7346,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Palatul Berde",46.774444,23.58713,338,"Str. Horea 1",,400174,,,"Patrimoniu domestic urban","Clădire cu funcțiuni mixte (se precizează care funcțiuni și în ce proporție)",,"1889 -1900",,,,"Stare medie","În curs de restaurare.",
823,"CJ-II-m-B-07347","CJ","II","m","B",7347,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Palatul Elian",46.774776,23.587682,338,"Str. Horea 2",,400038,,,"Patrimoniu domestic urban","Clădire cu funcțiuni mixte (se precizează care funcțiuni și în ce proporție)",,1891,,,,"Stare medie",,
824,"CJ-II-m-B-07348","CJ","II","m","B",7348,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa de Comerț și Industrie",46.774586,23.586607,340,"Str. Horea 3",,400174,,,"Patrimoniu reprezentativ","Clădire financiar-comerț",,1903,,,,"Stare bună",,
825,"CJ-II-m-B-07349","CJ","II","m","B",7349,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa Urania",46.775101,23.587541,339,"Str. Horea 4-6",,400038,,,"Patrimoniu reprezentativ","Clădire cu funcțiuni mixte (se precizează care funcțiuni și în ce proporție)",,1908,,,,"Stare medie",,
826,"CJ-II-m-B-07350","CJ","II","m","B",7350,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.775074,23.586984,339,"Str. Horea 5",,400174,,,"Patrimoniu reprezentativ","Clădire cu funcțiuni mixte (se precizează care funcțiuni și în ce proporție)",,1910,,,,"Stare medie",,
827,"CJ-II-m-B-07351","CJ","II","m","B",7351,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.776867,23.586817,341,"Str. Horea 19",,400174,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX",,,,"Stare medie",,
828,"CJ-II-m-B-07352","CJ","II","m","B",7352,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Facultatea de Filologie",46.778352,23.586541,342,"Str. Horea 31",,400202,,,"Patrimoniu reprezentativ","Clădire pentru învățământ",,1905,,,,"Stare medie",,
829,"CJ-II-m-B-07353","CJ","II","m","B",7353,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.779051,23.586924,341,"Str. Horea 35",,400202,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1900,,,,"Stare medie",,
831,"CJ-II-m-B-07354","CJ","II","m","B",7354,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Catedrala Arhiepiscopiei ortodoxe",46.771868,23.596365,347,"Piața Iancu Avram",,400098,,,"Patrimoniu religios","Clădire de cult","Catedrală","1923 - 1936",,,,"Stare medie","În curs de restaurare.",
837,"CJ-II-m-B-07356","CJ","II","m","B",7356,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa Bogdanffy",46.76654,23.587381,355,"Str. Iancu Avram 1",,400089,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII",,,,"Stare medie","În curs de restaurare.",
833,"CJ-II-m-B-07357","CJ","II","m","B",7357,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.772942,23.595911,341,"Piața Iancu Avram 14",,400116,,,"Patrimoniu religios","Clădire pentru învățământ",,"sec. XIX",,,,"Stare medie","Piața Iancu Avram nr. 14-15 -Colegiul Universitar Reformat Apafi Mihály.",
834,"CJ-II-m-B-07358","CJ","II","m","B",7358,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Sediul Direcției regionale CFR",46.772522,23.596767,343,"Piața Iancu Avram 16",,400116,,,"Patrimoniu transporturilor","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,"sf. sec. XIX",,,,"Stare medie","Piața Iancu Avram 17",
835,"CJ-II-m-B-07359","CJ","II","m","B",7359,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Arhiepiscopia ortodoxă a Vadului, Feleacului și Clujului",46.771915,23.597213,344,"Piața Iancu Avram 18A",,400116,,,"Patrimoniu religios","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,"sec. XIX",,,,"Stare medie",,
836,"CJ-II-m-B-07360","CJ","II","m","B",7360,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Administrația Financiară",46.771357,23.597535,344,"Piața Iancu Avram 19 și str. Dorobanților 1",,400116,,,"Patrimoniu reprezentativ","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,"sec. XIX",,,,"Stare medie",,
839,"CJ-II-m-B-07361","CJ","II","m","B",7361,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.766219,23.589092,355,"Str. Iancu Avram 10-12",,400089,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX",,,,"Stare medie",,
841,"CJ-II-m-B-07362","CJ","II","m","B",7362,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Tipografia Liceului reformat (zid de incintă medievală pe limita de parcelă)",46.766489,23.591121,355,"Str. Iancu Avram 13-15",,400083,,,"Patrimoniu reprezentativ","Clădire pentru învățământ",,"sec. XIX",,,,"Stare medie",,
842,"CJ-II-m-B-07363","CJ","II","m","B",7363,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.766152,23.589969,355,"Str. Iancu Avram 16-18",,400089,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1938,,,,"Stare medie","Str. Iancu Avram 18.",
847,"CJ-II-m-B-07364","CJ","II","m","B",7364,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă (zid de incintă medievală pe limita de parcelă)",46.767237,23.594584,350,"Str. Iancu Avram 27-29, Calea Dorobanților 19, Str. Kogălniceanu Mihail",,400083,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX",,,,"Stare medie","Str. Iancu Avram 27-29, Str. Kovács Dezső, Str. Kogălniceanu Mihail",
844,"CJ-II-m-B-07365","CJ","II","m","B",7365,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă, fost hotel Biazini",46.766083,23.590491,355,"Str. Iancu Avram 20",,400089,,,"Patrimoniu reprezentativ","Clădire pentru turism",,"sec. XIX",,,,"Stare medie",,
845,"CJ-II-m-B-07366","CJ","II","m","B",7366,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.766698,23.592431,352,"Str. Iancu Avram 21",,400083,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII",,,,"Stare medie",,
846,"CJ-II-m-B-07367","CJ","II","m","B",7367,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.76677,23.592648,351,"Str. Iancu Avram 23",,400083,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","înc. sec. XIX",,,,"Colaps","Nu mai există.",
848,"CJ-II-m-B-07368","CJ","II","m","B",7368,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.769752,23.585305,349,"Str. Isac Emil 4",,400023,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XX",,,,"Stare foarte bună",,
850,"CJ-II-m-B-07369","CJ","II","m","B",7369,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă cu elemente de decorațiune interioară în stil Secession",46.771237,23.584902,344,"Str. Isac Emil 14",,400023,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1904,,,,"Stare medie",,
851,"CJ-II-m-B-07370","CJ","II","m","B",7370,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Universitatea ""Babeș Bolyai""",46.767642,23.59131,354,"Str. Kogălniceanu Mihail 1",,400084,,,"Patrimoniu reprezentativ","Clădire pentru învățământ",,"1893 - 1903",,,,"Stare bună",,
853,"CJ-II-m-B-07372","CJ","II","m","B",7372,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă (zid incinta medievală pe limita de parcelă)",46.767317,23.592035,353,"Str. Kogălniceanu Mihail 4",,400084,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1789 -1800",,,,"Stare medie",,
854,"CJ-II-m-B-07373","CJ","II","m","B",7373,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.767788,23.592934,349,"Str. Kogălniceanu Mihail 5",,400084,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1789 -1800",,,,"Stare medie",,
855,"CJ-II-m-B-07374","CJ","II","m","B",7374,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă (zid de incintă medievală pe limita de parcelă)",46.767401,23.592447,351,"Str. Kogălniceanu Mihail 6",,400084,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII",,,,"Stare medie",,
857,"CJ-II-m-B-07376","CJ","II","m","B",7376,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Liceul ""Emil Racoviță""",46.768018,23.594139,348,"Str. Kogălniceanu Mihail 9-11",,400084,,,"Patrimoniu domestic urban","Clădire pentru învățământ",,"sec. XVI - XIX",,,,"Stare medie",,
858,"CJ-II-m-B-07377","CJ","II","m","B",7377,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Arhivele Statului Cluj-Napoca (zid de incintă medievală pe limita de parcelă)",46.76759,23.593212,348,"Str. Kogălniceanu Mihail 10",,400084,,,"Patrimoniu reprezentativ","Clădire cu destinație specială (poliție, S.R.I., armată ș.a.)",,"sec. XVIII",,,,"Stare medie",,
866,"CJ-II-m-B-07378.04","CJ","II","m","B",7378.04,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.768235,23.595049,348,"Str. Kogălniceanu Mihail 19",,400084,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1790 -1802",,,,"Stare medie",,
861,"CJ-II-m-B-07379","CJ","II","m","B",7379,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Colegiul reformat, azi Liceul Ady Șincai",46.767888,23.594778,348,"Str. Kogălniceanu Mihail 14",,400084,,,"Patrimoniu reprezentativ","Clădire pentru învățământ",,"sec. XVII",,,,"Stare medie",,
865,"CJ-II-m-B-07381","CJ","II","m","B",7381,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Tipografia Colegiului reformat",46.768263,23.596716,344,"Str. Kogălniceanu Mihail 18",,400084,,,"Patrimoniu reprezentativ","Clădire pentru învățământ",,"sec. XVIII",,,,"Stare medie",,
867,"CJ-II-m-B-07382","CJ","II","m","B",7382,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa parohială a bisericii reformate",46.76848,23.595738,346,"Str. Kogălniceanu Mihail 23",,400084,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1751,,,,"Stare medie",,
871,"CJ-II-m-B-07384","CJ","II","m","B",7384,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.770485,23.592052,347,"Str. Maniu iuliu 8 și str.Bolyai János 6",,400095,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII-XIX",,,,"Stare foarte bună",,
872,"CJ-II-m-B-07385","CJ","II","m","B",7385,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.770736,23.592227,346,"Str. Maniu luliu 9",,400095,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX",,,,"Stare bună",,
873,"CJ-II-m-B-07386","CJ","II","m","B",7386,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa în care s-a născut Carol Popp de Szathmary",46.77099,23.593214,342,"Str. Maniu luliu 17",,400095,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII",,,,"Stare bună",,
874,"CJ-II-m-B-07387","CJ","II","m","B",7387,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.771078,23.594563,344,"Str. Maniu luliu 34",,400095,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII",,,,"Stare foarte bună",,
877,"CJ-II-m-B-07389","CJ","II","m","B",7389,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.770309,23.588081,347,"Str. Matei Corvin 1 și str. Memorandumului 2",,400112,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII",,,,"Stare foarte bună",,
878,"CJ-II-m-B-07390","CJ","II","m","B",7390,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.770445,23.588316,346,"Str. Matei Corvin 2 și Piața Unirii 18",,400112,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XX",,,,"Stare bună","Dublă înregistrare -v. CJ-II-m-B-07486",
879,"CJ-II-m-B-07391","CJ","II","m","B",7391,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.77078,23.587689,346,"Str. Matei Corvin 3",,400112,,,"Patrimoniu reprezentativ","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII",,,,"Stare bună",,
880,"CJ-II-m-B-07392","CJ","II","m","B",7392,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa principelui Transilvaniei Ștefan Bocskay, azi Universitatea ""Sapientia"" (fragmente din zidul incintei medieval în subsol)",46.770911,23.587896,346,"Str. Matei Corvin 4",,400112,,,"Patrimoniu reprezentativ","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX",,,,"Stare foarte bună",,
882,"CJ-II-m-B-07394","CJ","II","m","B",7394,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Vama veche",46.762869,23.572495,352,"Str. Mănășturului 1",,400372,,,"Patrimoniu administrativ","Clădire cu destinație specială (poliție, S.R.I., armată ș.a.)",,1748,,,,"Stare medie","Calea Mănăștur nr. 1.",
883,"CJ-II-m-B-07395","CJ","II","m","B",7395,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Mănăstirea iezuită",46.762015,23.570149,355,"Str. Mănășturului 9",,400372,,,"Patrimoniu religios","Clădire de cult","Mănăstire","sec. XVI",,,,"Stare medie","Calea Mănăștur nr. 9.",
885,"CJ-II-m-B-07397","CJ","II","m","B",7397,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Banca ""Alpha""",46.77002,23.588292,347,"Str. Memorandumului 1",,400114,,,"Patrimoniu reprezentativ","Clădire financiar-comerț",,1893,,,,"Stare bună",,
886,"CJ-II-m-B-07399","CJ","II","m","B",7399,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.770088,23.587663,347,"Str. Memorandumului 6",,400114,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX",,,,"Stare medie",,
887,"CJ-II-m-B-07400","CJ","II","m","B",7400,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.769776,23.58762,348,"Str. Memorandumului 7",,400114,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII-XX",,,,"Stare medie",,
888,"CJ-II-m-B-07401","CJ","II","m","B",7401,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.770021,23.587473,348,"Str. Memorandumului 8",,400114,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1846,,,,"Stare medie",,
889,"CJ-II-m-B-07402","CJ","II","m","B",7402,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.769572,23.587283,349,"Str. Memorandumului 11-13 și str. Rațiu Ion 2, str. Memorandumului 11 -13",,400114,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX",,,,"Stare medie",,
890,"CJ-II-m-B-07403","CJ","II","m","B",7403,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Sediul fostei Casine române, azi locuință",46.76982,23.587027,349,"Str. Memorandumului 12",,400114,,,"Patrimoniu reprezentativ","Clădire cu alte funcțiuni",,"sec. XVIII",,,,"Stare medie",,
891,"CJ-II-m-B-07404","CJ","II","m","B",7404,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.769492,23.587108,349,"Str. Memorandumului 15",,400114,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XVII",,,,"Stare medie",,
892,"CJ-II-m-B-07405","CJ","II","m","B",7405,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.769419,23.586992,349,"Str. Memorandumului 17",,400114,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX",,,,"Stare medie",,
893,"CJ-II-m-B-07406","CJ","II","m","B",7406,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.769361,23.586873,350,"Str. Memorandumului 19",,400114,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII",,,,"Stare medie",,
894,"CJ-II-m-B-07407","CJ","II","m","B",7407,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa în care s-a judecat procesul memorandiștilor, azi Muzeul Etnografic al Transilvaniei ('""Reduta"")",46.769254,23.586609,350,"Str. Memorandumului 21",,400114,,,"Patrimoniu reprezentativ","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,"1810-1812",,,,"Stare bună",,
895,"CJ-II-m-B-07408","CJ","II","m","B",7408,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă, azi Liceul economic",46.76952,23.586302,350,"Str. Memorandumului 22",,400114,,,"Patrimoniu reprezentativ","Clădire pentru învățământ",,1788,,,,"Stare bună","Școala Ioan Bob.",
896,"CJ-II-m-B-07409","CJ","II","m","B",7409,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.769431,23.586085,350,"Str. Memorandumului 23",,400114,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1740,,,,"Stare medie",,
897,"CJ-II-m-B-07410","CJ","II","m","B",7410,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.767589,23.589205,350,"Str. Micu Klein I. 6",,400087,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XVIII",,,,"Stare foarte bună",,
898,"CJ-II-m-B-07411","CJ","II","m","B",7411,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.767369,23.588221,351,"Str. Micu Klein I. 12",,400087,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII",,,,"Stare medie",,
899,"CJ-II-m-B-07412","CJ","II","m","B",7412,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.76716,23.588183,351,"Str. Micu Klein I. 15",,400087,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII-XIX",,,,"Stare bună",,
900,"CJ-II-m-B-07413","CJ","II","m","B",7413,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.767185,23.588038,351,"Str. Micu Klein I. 17",,400087,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX",,,,"Stare bună",,
901,"CJ-II-m-B-07414","CJ","II","m","B",7414,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.768194,23.586585,351,"Str. Micu Samuil 8",,400014,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII-XIX",,,,"Stare medie","În curs de restaurare.",
902,"CJ-II-m-B-07416","CJ","II","m","B",7416,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Prefectura județului Cluj",46.768379,23.584724,350,"Calea Moților 1-3",,400001,,,"Patrimoniu administrativ","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,"sec. XIX",,,,"Stare bună","Primăria municipiului Cluj-Napoca.",
903,"CJ-II-m-B-07417","CJ","II","m","B",7417,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.768959,23.584884,350,"Calea Moților 4",,400003,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII",,,,"Stare medie","În curs de restaurare.",
